,City,Place
1191663,Porbandar,Kamla Nehru Park
1191794,Porbandar,Gop Hindu Temple
1191847,Porbandar,Krishna-Sudama Temple
1191867,Porbandar,Madhavpur Ghed
1191869,Porbandar,Porbandar Beach
1191879,Porbandar,Jambavan Cave
1191955,Porbandar,Madhavpur Beach
1192020,Porbandar,Sri Hari Mandir Temple
1192030,Porbandar,Rana Bapu's Mahal
1192048,Porbandar,Rangbai Beach
1192058,Porbandar,Rani Baug Park
1192062,Porbandar,Rokadia Hanuman Temple
1192067,Porbandar,Sai Baba's Mandir Temple
1192074,Porbandar,Sartanji Choro
1192094,Porbandar,Satyanarayan's Mandir Temple
1192126,Porbandar,Sudama Mandir Temple
1192175,Porbandar,Ramdhun Temple
1192192,Porbandar,Sunni Vora Masjid Temple
1192193,Porbandar,Tara Mandir Temple
1192196,Porbandar,Vishwakarma Prabhuji Mandir Temple
1192206,South Andaman Island,Aberdeen Clock Tower
1192228,South Andaman Island,Anthropological Museum
1192731,South Andaman Island,Cellular Jail
1192732,South Andaman Island,Chatham Saw Mill
1193177,South Andaman Island,Chidiya Tapu
1193926,South Andaman Island,Corbyn's Cove
1194021,South Andaman Island,Chidiyatapu Biological Park
1194937,South Andaman Island,Dekho Andaman
1194947,South Andaman Island,Ferar Beach
1195005,South Andaman Island,Gandhi Park
1195090,South Andaman Island,Green Ocean Ferry
1195406,South Andaman Island,Jolly Buoy Island
1196054,South Andaman Island,Kalapani Museum
1196127,South Andaman Island,Makruzz
1197812,South Andaman Island,Marina Park and Aquarium
1197978,South Andaman Island,Mini-Zoo
1198074,South Andaman Island,Middle Button National Park
1198092,South Andaman Island,Mount Harriet National Park
1198145,South Andaman Island,Murugan Temple
1198172,South Andaman Island,Munda Pahad Beach
1198253,South Andaman Island,North Bay Island Andaman
1199068,South Andaman Island,Phoenix Bay Jetty
1199236,South Andaman Island,Police Gurudwara
1199239,South Andaman Island,Red Skin Island
1199244,South Andaman Island,Rajiv Gandhi's Statue
1199363,South Andaman Island,Ross Island
1201024,South Andaman Island,Samudrika Marine Museum
1201649,South Andaman Island,Science Centre
1201724,South Andaman Island,Sippighat Farm
1201735,South Andaman Island,Sea Link Adventure India Pvt Ltd
1201745,South Andaman Island,Viper Island
1201758,South Andaman Island,South Button National Park
1201797,South Andaman Island,Stella Maris Cathedral
1201800,South Andaman Island,Veer Savarkar Park
1201902,South Andaman Island,Wandoor Beach
1202230,South Andaman Island,Zsi Museum
1202248,Paithalmala,Paithalmala Hill Station
1202255,Porvorim,Ved Ayurved Bhavan Goa
1202269,Porvorim,Go Goa Travel
1202296,Pottankadu,Kalladanthy Natural Cave Munnar
1202300,Pottenplave,Ezharakund Waterfalls
1202318,Pozhuthana,Ciceronis Travel
1202380,Pragpur,Chamba Pattan
1202384,Pragpur,Dada Siba Temple
1202394,Prantij,Ambika Mataji temple
1202417,Prantij,Khedbrahma
1202419,Pratapgarh,Bela Bhawani Temple
1202423,Pratapgarh,Baba Bhayaharan Nath Dham
1202443,Pratapgarh,Kot Buddhist Monastery
1202446,Prem Nagar,Fun N Food Kingdom
1202456,Pratappur,Aranyasundari Valkimachan
1202466,Pudukkottai,Avudaiyarkoil
1202470,Pudukkottai,Brahadambal Temple
1202480,Proddatur,Sri Vasavi Karyakarte Parameswari Temple
1202498,Pudukkottai,Kudumiyanmalai Temple
1202506,Pudukkottai,Government Museum in Pudukkottai
1202509,Pudukkottai,Sittannavasal
1202569,Pudukkottai,Thirumayam Fort
1202610,Pudukkottai,Sivan Temple
1202627,Pratapgarh,Ghusmeshwar Nath Dham
